Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91501;2025/01/01 20:00:00;Elia;External Constraint BE_AL_export;;OPPOSITE;;;10.8705616200;1000;;;1000;0;990;0;0;0;0;0;0;0;0;0.0000000000;1.0000000000;DE_via_HVDC;BE_via_HVDC;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
91502;2025/01/01 20:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Sokolnice - Stupava;10T-CZ-SK-00005Q;450.5244587060;992;2491.0000000000;2000;1386;139;1155;249;100;148;0;0;0;0;255;70.0000000000;0.2798600000;CZ;SK;-0.0087800000;-0.0070600000;-0.0621400000;-0.0092200000;0.0407500000;-0.0039800000;-0.0142200000;-0.1211500000;-0.1670000000;-0.0066600000;0.0245700000;-0.1517000000;-0.1023100000;-0.2391100000
91503;2025/01/01 20:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;327.3372948910;840;14.0000000000;2520;1746;175;1863;1267;1056;211;538;0;0;0;1269;60.3000000000;0.3148900000;DE;CZ;-0.0272600000;-0.0230800000;-0.1572800000;-0.0283600000;-0.3255100000;-0.0106300000;-0.0406000000;-0.1776000000;-0.1979500000;-0.0210700000;-0.1103300000;-0.1890200000;-0.1722600000;-0.2046000000
91504;2025/01/01 20:00:00;Mavir;"Gonyu - Gyor ";15T-M000002791-J;DIRECT;N-1 Gabcikovo - Gyor;10T-HU-SK-00002R;76.5904641880;621;4.0000000000;2000;1386;139;1194;636;526;110;249;0;0;249;626;70.0000000000;0.2921100000;SK;SI;-0.0107500000;-0.0087900000;-0.0861500000;-0.0112600000;0.0380600000;-0.0054200000;-0.0170100000;-0.0868700000;0.0759000000;-0.0082400000;0.0606100000;-0.0097700000;-0.1169200000;0.1751900000
91505;2025/01/01 20:00:00;TennetBv;"PST MEE 2 ";49T000000000078O;DIRECT;N-1 Diele - Meeden SCHWARZ/Z;10T-DE-NL-00001V;350.4490305390;210;61.0000000000;1519;1052;105;1854;1370;1337;33;633;0;0;0;1370;20.0000000000;0.1826400000;DE;NL;-0.1286300000;-0.1042200000;-0.0691400000;-0.1333900000;-0.0595900000;-0.0486800000;-0.1039900000;-0.0668400000;-0.0630800000;-0.2313100000;-0.0555300000;-0.0637900000;-0.0681300000;-0.0613500000
91506;2025/01/01 20:00:00;Pse;"Wielopole - Nosovice ";10T-CZ-PL-00004A;DIRECT;N-1 Albrechtice - Nosovice;27T-TLI-V460---8;17.5473175900;781;4.0000000000;2000;1386;139;1166;552;501;52;85;0;0;0;551;60.0000000000;0.2787500000;PL;CZ;-0.0133000000;-0.0120000000;-0.0585300000;-0.0136700000;-0.0954600000;-0.0083200000;-0.0179300000;-0.0604700000;-0.0652300000;-0.0108900000;0.1832900000;-0.0514900000;-0.0627600000;-0.0770200000
