Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91478;2025/01/01 16:00:00;;External Constraint DE_AL_import;;OPPOSITE;;;12.7887324020;1000;;;1000;0;964;0;0;0;0;0;0;0;0;0.0000000000;1.0000000000;DE_via_HVDC;BE_via_HVDC;0.0000000000;-1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
91479;2025/01/01 16:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Sokolnice - Stupava;10T-CZ-SK-00005Q;13.0620555370;968;2490.0000000000;2000;1386;139;1048;273;89;184;0;0;0;0;279;70.0000000000;0.2722100000;CZ;SK;-0.0087800000;-0.0070600000;-0.0621400000;-0.0092200000;0.0421200000;-0.0039800000;-0.0142600000;-0.1222400000;-0.1668800000;-0.0066500000;0.0265000000;-0.1516800000;-0.1022900000;-0.2300900000
91480;2025/01/01 16:00:00;TennetGmbh;"Altheim - Sittling 219 ";11TD2L000000003L;OPPOSITE;N-1 Altheim - Sittling 220;11TD2L000000004J;706.0269343410;350;-2.0000000000;1123;438;44;267;44;-26;70;0;0;0;0;44;60.3000000000;0.0629700000;NL;AT;0.0006300000;0.0016300000;-0.0618700000;0.0004000000;-0.0274100000;-0.0009900000;-0.0018600000;-0.0421800000;-0.0427000000;0.0010900000;-0.0236900000;-0.0415100000;-0.0432400000;-0.0393800000
91481;2025/01/01 16:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;317.7649289150;762;13.0000000000;2520;1746;175;1918;1427;1139;289;620;0;0;0;1429;60.3000000000;0.3147700000;DE;CZ;-0.0272600000;-0.0230800000;-0.1572800000;-0.0283600000;-0.3254000000;-0.0106300000;-0.0406800000;-0.1785400000;-0.1976800000;-0.0210300000;-0.1085800000;-0.1890200000;-0.1722500000;-0.2043500000
91482;2025/01/01 16:00:00;Mavir;"Levice - God ";10T-HU-SK-00001T;DIRECT;N-1 R.Sobota - Sajoivanka;10T1001C--00054V;391.8156400680;751;53.0000000000;2000;1386;139;1130;486;328;158;51;0;0;51;496;70.0000000000;0.1992900000;SK;HU;-0.0030500000;-0.0023200000;-0.0157500000;-0.0032400000;0.0154900000;-0.0011400000;-0.0053800000;-0.0805200000;-0.1597600000;-0.0022400000;0.0057700000;-0.1323200000;-0.0486000000;0.0395400000
91483;2025/01/01 16:00:00;TennetBv;"PST MEE 2 ";49T000000000078O;DIRECT;N-1 Diele - Meeden SCHWARZ/Z;10T-DE-NL-00001V;427.9375629760;210;60.0000000000;1519;1052;105;2078;1632;1474;158;895;0;0;0;1632;20.0000000000;0.1810700000;DE;NL;-0.1286300000;-0.1042200000;-0.0691400000;-0.1333900000;-0.0595800000;-0.0486800000;-0.1039400000;-0.0666900000;-0.0630800000;-0.2297500000;-0.0553300000;-0.0637900000;-0.0681400000;-0.0613900000
