Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91399;2025/01/01 05:00:00;Apg;"Westtirol 1 - Westtirol 2 WTRHU41 ";14T-38220-WT041O;DIRECT;N-1 Westtirol - Voehringen FUESSN W;10T1001C--00037V;2.0070473170;581;11.0000000000;1443;1000;100;663;321;495;-174;0;0;0;0;319;9.6000000000;0.1562800000;FR;AT;0.0136100000;0.0106500000;-0.1338000000;0.0143600000;-0.0373300000;-0.0256100000;0.0224800000;-0.0554600000;-0.0546000000;0.0103900000;-0.0326400000;-0.0538000000;-0.0606400000;-0.0495000000
91400;2025/01/01 05:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Sokolnice - Stupava;10T-CZ-SK-00005Q;64.5773776260;973;2489.0000000000;2000;1386;139;1106;268;126;142;0;0;0;0;274;70.0000000000;0.2824400000;CZ;SK;-0.0087900000;-0.0070700000;-0.0628800000;-0.0092400000;0.0414700000;-0.0039800000;-0.0143100000;-0.1207000000;-0.1671500000;-0.0068700000;0.0249600000;-0.1520000000;-0.1026400000;-0.2409700000
91401;2025/01/01 05:00:00;TennetGmbh;"Altheim - Sittling 219 ";11TD2L000000003L;OPPOSITE;N-1 Altheim - Sittling 220;11TD2L000000004J;529.0194036180;437;2.0000000000;1168;455;46;292;-28;-62;34;0;0;0;0;-28;60.3000000000;0.0692200000;NL;AT;0.0005800000;0.0016200000;-0.0681600000;0.0003400000;-0.0282500000;-0.0010300000;-0.0020600000;-0.0445100000;-0.0449900000;0.0010600000;-0.0242500000;-0.0437200000;-0.0459000000;-0.0411000000
91402;2025/01/01 05:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;157.2784617280;836;-4.0000000000;2520;1746;175;1947;1332;1118;214;599;0;0;0;1334;60.3000000000;0.3146400000;DE;CZ;-0.0272600000;-0.0230800000;-0.1573200000;-0.0283600000;-0.3252600000;-0.0106200000;-0.0407200000;-0.1774900000;-0.1979800000;-0.0217000000;-0.1049700000;-0.1890500000;-0.1722800000;-0.2050300000
91403;2025/01/01 05:00:00;Mavir;"Gonyu - Gyor ";15T-M000002791-J;DIRECT;N-1 Gabcikovo - Gyor;10T-HU-SK-00002R;391.8019754830;610;-3.0000000000;2000;1386;139;1224;646;515;131;238;0;0;238;637;70.0000000000;0.2923200000;SK;SI;-0.0107600000;-0.0088000000;-0.0871600000;-0.0112800000;0.0381900000;-0.0054300000;-0.0171100000;-0.0896600000;0.0735900000;-0.0084900000;0.0587300000;-0.0102600000;-0.1173500000;0.1749700000
91404;2025/01/01 05:00:00;TennetBv;"Maasbracht - Oberzier 380 white ";10T-DE-NL-00005N;DIRECT;N-1 Maasbracht - Siersdorf SELFK SW/Z;10T-DE-NL-00006L;4.4466324400;470;-65.0000000000;2875;1992;199;1834;1323;684;639;0;0;0;0;1323;43.0000000000;0.4679200000;BE_AL_HVDC;DE_AL_HVDC;0.2533000000;-0.2146200000;-0.0159400000;0.2126400000;-0.0200300000;-0.0179300000;0.0614300000;-0.0144100000;-0.0170700000;0.2302800000;-0.0187000000;-0.0164000000;-0.0137700000;-0.0179200000
