Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91387;2025/01/01 03:00:00;Apg;"Pleinting - St. Peter 258 ";10T-AT-DE-000037;DIRECT;N-1 Pirach - Pirach - Pleinting 296/257;11T0-0000-2108-O;457.0433733130;740;0.0000000000;1780;694;69;452;-114;-130;16;0;0;0;0;-115;44.4000000000;0.1149200000;NL;AT;0.0011100000;0.0019200000;-0.1135600000;0.0009100000;-0.0334900000;0.0008600000;-0.0013500000;-0.0715800000;-0.0714500000;0.0013700000;-0.0346800000;-0.0694500000;-0.0743200000;-0.0637000000
91388;2025/01/01 03:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Sokolnice - Stupava;10T-CZ-SK-00005Q;52.2983901530;971;2495.0000000000;2000;1386;139;1109;270;127;144;0;0;0;0;276;70.0000000000;0.2801200000;CZ;SK;-0.0087800000;-0.0070700000;-0.0621700000;-0.0092300000;0.0416400000;-0.0038600000;-0.0142800000;-0.1205400000;-0.1669200000;-0.0064500000;0.0246300000;-0.1517800000;-0.1023400000;-0.2384800000
91389;2025/01/01 03:00:00;TransnetBw;"Daxlanden - Maximiliansau sw ";11T0-0000-2263-A;OPPOSITE;N-1 Kuehmoos - Maximiliansau ge (Rheingraben);11T0-0000-2270-F;1.5072361050;760;5321.0000000000;3150;2182;218;3061;2626;2070;556;1421;0;0;0;2625;60.3000000000;0.1041600000;NL;AT;-0.0104000000;0.0251900000;-0.0976700000;-0.0181300000;-0.0623000000;-0.0515000000;-0.0840400000;-0.0885500000;-0.0761100000;0.0064900000;-0.0544700000;-0.0786100000;-0.0926700000;-0.0706100000
91390;2025/01/01 03:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;104.1334944040;856;-5.0000000000;2520;1746;175;1887;1257;1062;194;544;0;0;0;1259;60.3000000000;0.3146000000;DE;CZ;-0.0272700000;-0.0230800000;-0.1573200000;-0.0283700000;-0.3246600000;-0.0100500000;-0.0407100000;-0.1776400000;-0.1977800000;-0.0204200000;-0.1053000000;-0.1890500000;-0.1722900000;-0.2044400000
91391;2025/01/01 03:00:00;TennetBv;"Maasbracht - Oberzier 380 white ";10T-DE-NL-00005N;DIRECT;N-1 Maasbracht - Siersdorf SELFK SW/Z;10T-DE-NL-00006L;2.4002536270;569;-95.0000000000;2875;1992;199;1727;1224;764;460;0;0;0;0;1224;40.0000000000;0.4679200000;BE_AL_HVDC;DE_AL_HVDC;0.2533000000;-0.2146200000;-0.0160000000;0.2126400000;-0.0200300000;-0.0157600000;0.0616400000;-0.0144500000;-0.0170900000;0.2036200000;-0.0187000000;-0.0164200000;-0.0138000000;-0.0179200000
91392;2025/01/01 03:00:00;Pse;"Wielopole - Nosovice ";10T-CZ-PL-00004A;DIRECT;N-1 Detmarovice - Dobrzen;10T1001A1001A09N;132.4652084340;604;-2.0000000000;2000;1386;139;1233;667;603;64;187;0;0;164;666;60.0000000000;0.2905800000;PL;CZ;-0.0133200000;-0.0120100000;-0.0585700000;-0.0136800000;-0.1132000000;-0.0081700000;-0.0179800000;-0.0609000000;-0.0648400000;-0.0106200000;0.1773800000;-0.0515000000;-0.0627900000;-0.0764700000
