Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91496;2025/01/01 19:00:00;Elia;External Constraint BE_AL_export;;OPPOSITE;;;12.5515499330;1000;;;1000;0;989;0;0;0;0;0;0;0;0;0.0000000000;1.0000000000;DE_via_HVDC;BE_via_HVDC;1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
91497;2025/01/01 19:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Sokolnice - Stupava;10T-CZ-SK-00005Q;342.2653184210;956;2490.0000000000;2000;1386;139;1187;285;119;166;0;0;0;0;291;70.0000000000;0.2798800000;CZ;SK;-0.0087800000;-0.0070600000;-0.0621400000;-0.0092200000;0.0416600000;-0.0039800000;-0.0142300000;-0.1218100000;-0.1669800000;-0.0066600000;0.0285300000;-0.1517000000;-0.1023000000;-0.2382200000
91498;2025/01/01 19:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;455.3281393310;800;13.0000000000;2520;1746;175;1902;1307;1057;250;538;0;0;0;1309;60.3000000000;0.3142700000;DE;CZ;-0.0272600000;-0.0230800000;-0.1572800000;-0.0283600000;-0.3248900000;-0.0106300000;-0.0406000000;-0.1782300000;-0.1977700000;-0.0210700000;-0.1110200000;-0.1890200000;-0.1722500000;-0.2044800000
91499;2025/01/01 19:00:00;Mavir;"Gonyu - Gyor ";15T-M000002791-J;DIRECT;N-1 Gabcikovo - Gyor;10T-HU-SK-00002R;58.5878245030;600;6.0000000000;2000;1386;139;1157;656;534;122;257;0;0;257;647;70.0000000000;0.2914400000;SK;SI;-0.0107500000;-0.0087900000;-0.0861500000;-0.0112600000;0.0383700000;-0.0054200000;-0.0170100000;-0.0875300000;0.0688000000;-0.0082400000;0.0606100000;-0.0097600000;-0.1169200000;0.1745200000
91500;2025/01/01 19:00:00;TennetBv;"PST MEE 2 ";49T000000000078O;DIRECT;N-1 Diele - Meeden SCHWARZ/Z;10T-DE-NL-00001V;407.4047450480;211;60.0000000000;1519;1052;105;1954;1483;1378;105;747;0;0;0;1483;20.0000000000;0.1826400000;DE;NL;-0.1286300000;-0.1042200000;-0.0691400000;-0.1333900000;-0.0595900000;-0.0486800000;-0.1040100000;-0.0667500000;-0.0630700000;-0.2313200000;-0.0555700000;-0.0637900000;-0.0681400000;-0.0613400000
