Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91484;2025/01/01 17:00:00;;External Constraint DE_AL_import;;OPPOSITE;;;16.2640135650;1000;;;1000;0;983;0;0;0;0;0;0;0;0;0.0000000000;1.0000000000;DE_via_HVDC;BE_via_HVDC;0.0000000000;-1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
91485;2025/01/01 17:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Sokolnice - Stupava;10T-CZ-SK-00005Q;265.1057835140;942;2485.0000000000;2000;1386;139;1154;299;117;182;0;0;0;0;305;70.0000000000;0.2718000000;CZ;SK;-0.0087800000;-0.0070700000;-0.0592500000;-0.0092200000;0.0418100000;-0.0039800000;-0.0142800000;-0.1222800000;-0.1668600000;-0.0068600000;0.0276600000;-0.1516800000;-0.1022900000;-0.2300000000
91486;2025/01/01 17:00:00;TennetGmbh;"Altheim - Sittling 219 ";11TD2L000000003L;OPPOSITE;N-1 Altheim - Sittling 220;11TD2L000000004J;299.7042609620;339;-1.0000000000;1123;438;44;269;55;-13;68;0;0;0;0;55;60.3000000000;0.0566900000;NL;AT;0.0006300000;0.0016300000;-0.0556100000;0.0004000000;-0.0274200000;-0.0009900000;-0.0018700000;-0.0421800000;-0.0427100000;0.0010800000;-0.0237700000;-0.0415100000;-0.0432400000;-0.0393600000
91487;2025/01/01 17:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;388.2109507640;765;12.0000000000;2520;1746;175;1962;1459;1173;286;655;0;0;0;1461;60.3000000000;0.3148100000;DE;CZ;-0.0272600000;-0.0230800000;-0.1505600000;-0.0283600000;-0.3254400000;-0.0106300000;-0.0407000000;-0.1785400000;-0.1977100000;-0.0216800000;-0.1095100000;-0.1890200000;-0.1722600000;-0.2043100000
91488;2025/01/01 17:00:00;Mavir;"Levice - God ";10T-HU-SK-00001T;DIRECT;N-1 R.Sobota - Sajoivanka;10T1001C--00054V;73.8319056750;747;77.0000000000;2000;1386;139;1194;490;342;148;64;0;0;64;500;70.0000000000;0.1992400000;SK;HU;-0.0030500000;-0.0023200000;-0.0148400000;-0.0032400000;0.0154900000;-0.0011400000;-0.0053800000;-0.0805900000;-0.1591400000;-0.0023100000;0.0059300000;-0.1323300000;-0.0485900000;0.0401000000
91489;2025/01/01 17:00:00;TennetBv;"PST MEE 2 ";49T000000000078O;DIRECT;N-1 Diele - Meeden SCHWARZ/Z;10T-DE-NL-00001V;566.7496660720;211;56.0000000000;1519;1052;105;2113;1655;1389;266;919;0;0;0;1655;20.0000000000;0.1551700000;DE;NL;-0.1286300000;-0.1042200000;-0.0699500000;-0.1333900000;-0.0595800000;-0.0486800000;-0.1039200000;-0.0666900000;-0.0630800000;-0.2038600000;-0.0553700000;-0.0637900000;-0.0681400000;-0.0613800000
