Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91417;2025/01/01 08:00:00;;External Constraint DE_AL_import;;OPPOSITE;;;1.9804501480;1000;;;1000;0;847;0;0;0;0;0;0;0;0;0.0000000000;1.0000000000;DE_via_HVDC;BE_via_HVDC;0.0000000000;-1.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000;0.0000000000
91418;2025/01/01 08:00:00;Apg;"St. Peter 2 - Salzburg 455 ";14T-220-0-00455F;DIRECT;N-1 St. Peter - Salzburg - Salzach 456 PROV;14T-220-0-T0456O;751.3803320330;201;-73.0000000000;1600;624;62;629;363;347;16;0;0;0;0;361;29.7000000000;0.0728200000;CZ;AT;-0.0049600000;-0.0036200000;-0.0632400000;-0.0052900000;0.0095700000;-0.0046200000;-0.0088400000;-0.0074900000;0.0024000000;-0.0035300000;0.0057000000;-0.0003400000;-0.0124600000;0.0055600000
91419;2025/01/01 08:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Krizovany - Sokolnice;10T-CZ-SK-00003U;29.5901114430;1035;2095.0000000000;2000;1386;139;824;206;70;136;0;0;0;0;212;70.0000000000;0.2822400000;CZ;SK;-0.0086700000;-0.0069500000;-0.0587300000;-0.0091100000;0.0432100000;-0.0038700000;-0.0142500000;-0.1226000000;-0.1713200000;-0.0065600000;0.0236000000;-0.1561000000;-0.1033600000;-0.2390300000
91420;2025/01/01 08:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;45.8692401700;853;48.0000000000;2520;1746;175;1669;1272;1074;198;556;0;0;0;1274;60.3000000000;0.3144900000;DE;CZ;-0.0272600000;-0.0230800000;-0.1505800000;-0.0283600000;-0.3251200000;-0.0106300000;-0.0408500000;-0.1773300000;-0.1978900000;-0.0210600000;-0.1084200000;-0.1890800000;-0.1723000000;-0.2046400000
91421;2025/01/01 08:00:00;TennetBv;"PST MEE 2 ";49T000000000078O;DIRECT;N-1 Diele - Meeden SCHWARZ/Z;10T-DE-NL-00001V;21.8403934760;210;-53.0000000000;1519;1052;105;1626;1281;1163;117;544;0;0;0;1281;20.0000000000;0.1820100000;DE;NL;-0.1286300000;-0.1042200000;-0.0699500000;-0.1333900000;-0.0595800000;-0.0486800000;-0.1037500000;-0.0669200000;-0.0631000000;-0.2306900000;-0.0553200000;-0.0637900000;-0.0681400000;-0.0613700000
91422;2025/01/01 08:00:00;Pse;"Wielopole - Nosovice ";10T-CZ-PL-00004A;DIRECT;N-1 Detmarovice - Dobrzen;10T1001A1001A09N;120.2125716340;698;199.0000000000;2000;1386;139;1164;578;542;35;127;0;0;99;577;60.0000000000;0.2951600000;PL;CZ;-0.0133000000;-0.0120000000;-0.0562800000;-0.0136600000;-0.1131000000;-0.0083100000;-0.0180100000;-0.0606100000;-0.0651400000;-0.0108700000;0.1820600000;-0.0515100000;-0.0627400000;-0.0764500000
91423;2025/01/01 08:00:00;Seps;"Levice - God ";10T-HU-SK-00001T;DIRECT;N-1 R.Sobota - Sajoivanka;10T1001C--00054V;56.9475883730;821;335.0000000000;2000;1386;139;820;462;334;128;57;0;0;11;472;70.0000000000;0.1976300000;SK;HU;-0.0030500000;-0.0023200000;-0.0148400000;-0.0032400000;0.0155200000;-0.0011300000;-0.0054100000;-0.0783200000;-0.1562700000;-0.0022400000;0.0057900000;-0.1323700000;-0.0486300000;0.0413600000
