Id;DateTimeUtc;Tso;CnecName;CnecEic;Direction;ContName;BranchEic;ShadowPrice;Ram;RamMcp;Imax;Fmax;Frm;Fref;F0core;F0all;Fuaf;Amr;LtaMargin;Cva;Iva;FtotalLtn;MinRamFactor;MaxZ2ZPtdf;HubFrom;HubTo;Hub_ALBE;Hub_ALDE;Hub_AT;Hub_BE;Hub_CZ;Hub_DE;Hub_FR;Hub_HR;Hub_HU;Hub_NL;Hub_PL;Hub_RO;Hub_SI;Hub_SK
91379;2025/01/01 01:00:00;Ceps;"Nosovice - Varin  ";10T-CZ-SK-00002W;DIRECT;N-1 Sokolnice - Stupava;10T-CZ-SK-00005Q;446.1652761280;937;2493.0000000000;2000;1386;139;1208;304;161;143;0;0;0;0;310;70.0000000000;0.2813300000;CZ;SK;0.1408300000;0.1425500000;0.0874600000;0.1403800000;0.1912600000;0.1457600000;0.1353700000;0.0288900000;-0.0173500000;0.1429600000;0.1753500000;-0.0021600000;0.0472900000;-0.0900700000
91380;2025/01/01 01:00:00;50Hertz;"Hradec - Rohrsdorf 446 ";10T-CZ-DE-00003S;OPPOSITE;N-1 Hradec - Rohrsdorf 1;10T-CZ-DE-00002U;320.9812642110;856;5.0000000000;2520;1746;175;2168;1422;1227;195;709;0;0;0;1424;60.3000000000;0.3151700000;DE;CZ;0.1608000000;0.1649900000;0.0307800000;0.1597000000;-0.1371400000;0.1780300000;0.1474600000;0.0103400000;-0.0097100000;0.1670300000;0.0856300000;-0.0009600000;0.0158100000;-0.0163200000
91381;2025/01/01 01:00:00;Mavir;"Gonyu - Gyor ";15T-M000002791-J;DIRECT;N-1 Gabcikovo - Gyor;10T-HU-SK-00002R;224.9656769690;666;2.0000000000;2000;1386;139;1287;590;475;115;198;0;0;198;581;70.0000000000;0.2916300000;SK;SI;0.0013200000;0.0032900000;-0.0740800000;0.0008000000;0.0504200000;0.0068000000;-0.0049400000;-0.0775900000;0.0803200000;0.0038500000;0.0703400000;0.0024900000;-0.1048400000;0.1867900000
91382;2025/01/01 01:00:00;TennetBv;"Maasbracht - Oberzier 380 white ";10T-DE-NL-00005N;DIRECT;N-1 Maasbracht - Siersdorf SELFK SW/Z;10T-DE-NL-00006L;5.4596495300;597;88.0000000000;2875;1992;199;1599;1196;727;468;0;0;0;0;1196;42.0000000000;0.4680700000;BE_AL_HVDC;DE_AL_HVDC;0.2698300000;-0.1982400000;0.0003300000;0.2291900000;-0.0037400000;0.0005400000;0.0785500000;0.0018700000;-0.0007700000;0.2345300000;-0.0024400000;-0.0001000000;0.0025500000;-0.0016100000
