Time,Biomass,Energy storage,Fossil Brown coal/Lignite,Fossil Coal-derived gas,Fossil Gas,Fossil Hard coal,Fossil Oil,Fossil Oil shale,Fossil Peat,Geothermal,Hydro Pumped Storage,Hydro Water Reservoir,Nuclear,Other,Waste,Renewable
2025-01-01 13:30:00,357.96,,,,1811.59,,110.55,,,,58.29,266.0,42208.78,,299.64,26526.98
2025-01-01 13:45:00,357.91,,,,1852.36,,110.58,,,,39.55,236.49,42040.91,,295.11,26359.19
2025-01-01 14:00:00,360.77,,,,1807.57,,109.97,,,,43.45,252.02,42337.63,,294.46,26105.689999999995
2025-01-01 14:15:00,359.6,,,,1791.67,,110.67,,,,46.74,291.15,42552.24,,294.93,25781.440000000002
2025-01-01 14:30:00,358.32,,,,1821.6,,110.91,,,,1.64,103.51,42556.57,,296.25,25481.239999999998
2025-01-01 14:45:00,358.69,,,,1827.48,,110.93,,,,1.24,102.32,42534.22,,293.11,25061.519999999997
2025-01-01 15:00:00,358.2,,,,1766.46,,110.23,,,,0.23,99.99,41990.13,,294.73,24489.760000000002
2025-01-01 15:15:00,360.1,,,,1813.51,,110.48,,,,0.2,104.23,42296.84,,294.75,23921.07
2025-01-01 15:30:00,358.57,,,,1825.28,,110.25,,,,0.21,108.04,42717.83,,295.42,23129.61
2025-01-01 15:45:00,355.39,,,,1820.72,,110.56,,,,0.18,422.85,42664.14,,292.62,22333.41
2025-01-01 16:00:00,355.13,,,,1789.98,,110.51,,,,0.23,478.12,42439.25,,295.78,21597.55
2025-01-01 16:15:00,355.86,,,,1815.95,,110.63,,,,0.22,496.25,42892.9,,296.26,21139.87
2025-01-01 16:30:00,356.69,,,,1906.16,,110.35,,,,0.21,645.54,43518.65,,296.14,20746.74
2025-01-01 16:45:00,355.06,,,,1923.7,,110.88,,,,0.22,982.14,44497.32,,297.37,20385.18
2025-01-01 17:00:00,354.05,,,,1990.18,,110.65,,,,0.36,753.24,45487.48,,285.12,20372.120000000003
2025-01-01 17:15:00,354.7,,,,2106.07,,110.98,,,,5.29,381.3,46100.86,,287.96,20622.7
2025-01-01 17:30:00,355.22,,,,2136.03,,110.97,,,,57.79,635.17,46566.03,,297.27,20951.68
2025-01-01 17:45:00,356.59,,,,2095.45,,110.21,,,,318.79,676.84,46597.87,,301.51,21172.469999999998
2025-01-01 18:00:00,355.67,,,,2120.24,,110.87,,,,482.6,642.07,46962.02,,301.06,21473.219999999998
2025-01-01 18:15:00,354.03,,,,2072.47,,110.69,,,,467.21,590.14,47432.28,,301.25,21648.31
2025-01-01 18:30:00,353.98,,,,1982.86,,110.56,,,,706.41,549.4,47890.63,,302.39,21751.68
2025-01-01 18:45:00,353.33,,,,1994.46,,110.74,,,,867.07,550.25,48141.84,,303.0,21802.9
2025-01-01 19:00:00,352.91,,,,2172.52,,110.6,,,,595.46,554.82,48137.46,,304.14,21684.760000000002
2025-01-01 19:15:00,353.27,,,,2253.19,,110.84,,,,587.64,559.29,48172.2,,305.83,21568.45
2025-01-01 19:30:00,355.56,,,,2240.21,,110.41,,,,695.53,543.52,48082.86,,305.96,21207.27
2025-01-01 19:45:00,353.7,,,,2216.13,,110.54,,,,657.58,573.97,47866.58,,305.97,20811.84
2025-01-01 20:00:00,354.55,,,,2238.94,,110.8,,,,664.96,655.23,48380.2,,303.64,20616.84
2025-01-01 20:15:00,354.81,,,,2260.4,,110.7,,,,215.46,668.56,48203.25,,304.71,20441.239999999998
2025-01-01 20:30:00,355.18,,,,2174.78,,110.71,,,,241.62,582.97,48147.43,,303.84,20263.18
2025-01-01 20:45:00,354.7,,,,2017.31,,110.42,,,,211.09,561.14,47779.43,,303.84,19869.41
2025-01-01 21:00:00,354.98,,,,1984.39,,110.92,,,,247.43,585.34,48321.13,,297.72,19515.71
2025-01-01 21:15:00,354.99,,,,1973.5,,110.42,,,,211.07,385.75,48085.01,,301.17,19068.260000000002
2025-01-01 21:30:00,355.09,,,,1943.29,,110.79,,,,245.67,391.51,48188.43,,304.05,18712.22
2025-01-01 21:45:00,354.3,,,,1985.11,,110.59,,,,191.75,392.56,47828.69,,305.12,18449.100000000002
2025-01-01 22:00:00,354.32,,,,2078.84,,110.62,,,,175.94,454.53,47965.46,,302.89,17915.73
2025-01-01 22:15:00,354.82,,,,2186.51,,110.35,,,,146.42,453.95,47839.54,,304.57,17639.519999999997
2025-01-01 22:30:00,355.32,,,,2161.65,,110.48,,,,207.3,469.85,48247.62,,306.58,17496.98
2025-01-01 22:45:00,355.13,,,,2182.42,,110.23,,,,221.86,468.32,48091.12,,306.26,17147.760000000002
2025-01-01 23:00:00,354.6,,,,2216.25,,110.3,,,,156.44,450.74,47946.73,,306.39,16862.43
2025-01-01 23:15:00,354.23,,,,2197.52,,110.52,,,,114.86,439.46,47379.23,,305.76,16569.79
2025-01-01 23:30:00,354.53,,,,2186.35,,110.49,,,,2.74,442.27,47660.55,,305.93,16429.85
2025-01-01 23:45:00,356.16,,,,2129.06,,110.25,,,,0.19,430.7,47098.51,,306.78,16256.33
2025-01-02 00:00:00,313.56,,,,6001.06,584.78,110.18,,,,1124.94,3476.99,49884.5,,357.19,10834.23
2025-01-02 00:15:00,314.45,,,,6070.86,584.78,109.99,,,,962.4,3351.63,49818.55,,360.19,10715.21
2025-01-02 00:30:00,316.75,,,,5829.54,548.22,110.12,,,,442.34,2995.59,49643.48,,351.97,10528.880000000001
2025-01-02 00:45:00,314.87,,,,5350.84,464.96,109.76,,,,377.02,2798.46,49401.42,,342.48,10622.69
2025-01-02 01:00:00,313.71,,,,4747.77,384.42,110.37,,,,293.1,2512.68,49505.11,,341.98,10603.46
2025-01-02 01:15:00,309.04,,,,4290.93,304.59,110.49,,,,292.47,2428.11,49491.84,,343.22,10462.86
2025-01-02 01:30:00,312.17,,,,4130.72,234.94,110.66,,,,368.85,2430.95,49537.81,,343.85,10465.84
