MTU (CET/CEST),Day-ahead Price (EUR/MWh),Date,Hour,Weekday,Week,Month,Weekend
2025-01-01 00:00:00,12.36,2025-01-01,0,Wednesday,1,1,False
2025-01-01 01:00:00,18.92,2025-01-01,1,Wednesday,1,1,False
2025-01-01 02:00:00,16.66,2025-01-01,2,Wednesday,1,1,False
2025-01-01 03:00:00,13.1,2025-01-01,3,Wednesday,1,1,False
2025-01-01 04:00:00,5.9,2025-01-01,4,Wednesday,1,1,False
2025-01-01 05:00:00,9.27,2025-01-01,5,Wednesday,1,1,False
2025-01-01 06:00:00,10.04,2025-01-01,6,Wednesday,1,1,False
2025-01-01 07:00:00,7.23,2025-01-01,7,Wednesday,1,1,False
2025-01-01 08:00:00,12.83,2025-01-01,8,Wednesday,1,1,False
2025-01-01 09:00:00,13.76,2025-01-01,9,Wednesday,1,1,False
2025-01-01 10:00:00,17.95,2025-01-01,10,Wednesday,1,1,False
2025-01-01 11:00:00,20.59,2025-01-01,11,Wednesday,1,1,False
2025-01-01 12:00:00,28.11,2025-01-01,12,Wednesday,1,1,False
2025-01-01 13:00:00,30.0,2025-01-01,13,Wednesday,1,1,False
2025-01-01 14:00:00,21.5,2025-01-01,14,Wednesday,1,1,False
2025-01-01 15:00:00,10.68,2025-01-01,15,Wednesday,1,1,False
2025-01-01 16:00:00,20.18,2025-01-01,16,Wednesday,1,1,False
2025-01-01 17:00:00,35.72,2025-01-01,17,Wednesday,1,1,False
2025-01-01 18:00:00,48.06,2025-01-01,18,Wednesday,1,1,False
2025-01-01 19:00:00,50.14,2025-01-01,19,Wednesday,1,1,False
2025-01-01 20:00:00,41.5,2025-01-01,20,Wednesday,1,1,False
2025-01-01 21:00:00,34.93,2025-01-01,21,Wednesday,1,1,False
2025-01-01 22:00:00,34.69,2025-01-01,22,Wednesday,1,1,False
2025-01-01 23:00:00,28.04,2025-01-01,23,Wednesday,1,1,False
2025-01-02 00:00:00,39.84,2025-01-02,0,Thursday,1,1,False
2025-01-02 01:00:00,44.1,2025-01-02,1,Thursday,1,1,False
2025-01-02 02:00:00,44.7,2025-01-02,2,Thursday,1,1,False
2025-01-02 03:00:00,42.92,2025-01-02,3,Thursday,1,1,False
2025-01-02 04:00:00,40.15,2025-01-02,4,Thursday,1,1,False
2025-01-02 05:00:00,52.51,2025-01-02,5,Thursday,1,1,False
2025-01-02 06:00:00,93.3,2025-01-02,6,Thursday,1,1,False
2025-01-02 07:00:00,120.03,2025-01-02,7,Thursday,1,1,False
2025-01-02 08:00:00,135.52,2025-01-02,8,Thursday,1,1,False
2025-01-02 09:00:00,136.48,2025-01-02,9,Thursday,1,1,False
2025-01-02 10:00:00,129.04,2025-01-02,10,Thursday,1,1,False
2025-01-02 11:00:00,125.7,2025-01-02,11,Thursday,1,1,False
2025-01-02 12:00:00,125.72,2025-01-02,12,Thursday,1,1,False
2025-01-02 13:00:00,119.3,2025-01-02,13,Thursday,1,1,False
2025-01-02 14:00:00,124.65,2025-01-02,14,Thursday,1,1,False
2025-01-02 15:00:00,130.11,2025-01-02,15,Thursday,1,1,False
2025-01-02 16:00:00,139.5,2025-01-02,16,Thursday,1,1,False
2025-01-02 17:00:00,153.4,2025-01-02,17,Thursday,1,1,False
2025-01-02 18:00:00,153.15,2025-01-02,18,Thursday,1,1,False
2025-01-02 19:00:00,146.66,2025-01-02,19,Thursday,1,1,False
2025-01-02 20:00:00,130.6,2025-01-02,20,Thursday,1,1,False
2025-01-02 21:00:00,120.62,2025-01-02,21,Thursday,1,1,False
2025-01-02 22:00:00,117.89,2025-01-02,22,Thursday,1,1,False
2025-01-02 23:00:00,118.56,2025-01-02,23,Thursday,1,1,False
2025-01-03 00:00:00,103.88,2025-01-03,0,Friday,1,1,False
2025-01-03 01:00:00,95.18,2025-01-03,1,Friday,1,1,False
2025-01-03 02:00:00,89.94,2025-01-03,2,Friday,1,1,False
2025-01-03 03:00:00,87.67,2025-01-03,3,Friday,1,1,False
2025-01-03 04:00:00,84.06,2025-01-03,4,Friday,1,1,False
2025-01-03 05:00:00,92.25,2025-01-03,5,Friday,1,1,False
2025-01-03 06:00:00,100.14,2025-01-03,6,Friday,1,1,False
2025-01-03 07:00:00,119.27,2025-01-03,7,Friday,1,1,False
2025-01-03 08:00:00,127.28,2025-01-03,8,Friday,1,1,False
2025-01-03 09:00:00,132.97,2025-01-03,9,Friday,1,1,False
2025-01-03 10:00:00,130.52,2025-01-03,10,Friday,1,1,False
2025-01-03 11:00:00,123.2,2025-01-03,11,Friday,1,1,False
2025-01-03 12:00:00,113.51,2025-01-03,12,Friday,1,1,False
2025-01-03 13:00:00,107.6,2025-01-03,13,Friday,1,1,False
2025-01-03 14:00:00,105.88,2025-01-03,14,Friday,1,1,False
2025-01-03 15:00:00,110.22,2025-01-03,15,Friday,1,1,False
2025-01-03 16:00:00,123.2,2025-01-03,16,Friday,1,1,False
2025-01-03 17:00:00,141.2,2025-01-03,17,Friday,1,1,False
2025-01-03 18:00:00,144.48,2025-01-03,18,Friday,1,1,False
2025-01-03 19:00:00,141.43,2025-01-03,19,Friday,1,1,False
2025-01-03 20:00:00,133.2,2025-01-03,20,Friday,1,1,False
2025-01-03 21:00:00,119.9,2025-01-03,21,Friday,1,1,False
2025-01-03 22:00:00,123.58,2025-01-03,22,Friday,1,1,False
2025-01-03 23:00:00,126.09,2025-01-03,23,Friday,1,1,False
2025-01-04 00:00:00,109.06,2025-01-04,0,Saturday,1,1,True
2025-01-04 01:00:00,101.0,2025-01-04,1,Saturday,1,1,True
2025-01-04 02:00:00,95.53,2025-01-04,2,Saturday,1,1,True
2025-01-04 03:00:00,94.33,2025-01-04,3,Saturday,1,1,True
2025-01-04 04:00:00,96.62,2025-01-04,4,Saturday,1,1,True
2025-01-04 05:00:00,102.63,2025-01-04,5,Saturday,1,1,True
2025-01-04 06:00:00,110.89,2025-01-04,6,Saturday,1,1,True
2025-01-04 07:00:00,120.25,2025-01-04,7,Saturday,1,1,True
2025-01-04 08:00:00,128.39,2025-01-04,8,Saturday,1,1,True
2025-01-04 09:00:00,130.75,2025-01-04,9,Saturday,1,1,True
2025-01-04 10:00:00,130.34,2025-01-04,10,Saturday,1,1,True
2025-01-04 11:00:00,128.29,2025-01-04,11,Saturday,1,1,True
2025-01-04 12:00:00,130.03,2025-01-04,12,Saturday,1,1,True
2025-01-04 13:00:00,129.85,2025-01-04,13,Saturday,1,1,True
2025-01-04 14:00:00,136.4,2025-01-04,14,Saturday,1,1,True
2025-01-04 15:00:00,138.89,2025-01-04,15,Saturday,1,1,True
2025-01-04 16:00:00,133.52,2025-01-04,16,Saturday,1,1,True
