"MTU (CET/CEST)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (CET/CEST)","Intraday Price (EUR/MWh)"
"03/01/2024 06:00:00 - 03/01/2024 07:00:00","BZN|BE","Without Sequence","2.58","",""
"03/01/2024 07:00:00 - 03/01/2024 08:00:00","BZN|BE","Without Sequence","40.80","",""
"03/01/2024 08:00:00 - 03/01/2024 09:00:00","BZN|BE","Without Sequence","62.56","",""
"03/01/2024 09:00:00 - 03/01/2024 10:00:00","BZN|BE","Without Sequence","67.39","",""
"03/01/2024 10:00:00 - 03/01/2024 11:00:00","BZN|BE","Without Sequence","62.92","",""
"03/01/2024 11:00:00 - 03/01/2024 12:00:00","BZN|BE","Without Sequence","58.84","",""
"03/01/2024 12:00:00 - 03/01/2024 13:00:00","BZN|BE","Without Sequence","55.94","",""
"03/01/2024 13:00:00 - 03/01/2024 14:00:00","BZN|BE","Without Sequence","56.18","",""
"03/01/2024 14:00:00 - 03/01/2024 15:00:00","BZN|BE","Without Sequence","60.91","",""
"03/01/2024 15:00:00 - 03/01/2024 16:00:00","BZN|BE","Without Sequence","68.72","",""
"03/01/2024 16:00:00 - 03/01/2024 17:00:00","BZN|BE","Without Sequence","71.56","",""
"03/01/2024 17:00:00 - 03/01/2024 18:00:00","BZN|BE","Without Sequence","85.72","",""
"03/01/2024 18:00:00 - 03/01/2024 19:00:00","BZN|BE","Without Sequence","92.38","",""
"03/01/2024 19:00:00 - 03/01/2024 20:00:00","BZN|BE","Without Sequence","86.07","",""
"03/01/2024 20:00:00 - 03/01/2024 21:00:00","BZN|BE","Without Sequence","73.23","",""
"03/01/2024 21:00:00 - 03/01/2024 22:00:00","BZN|BE","Without Sequence","67.41","",""
"03/01/2024 22:00:00 - 03/01/2024 23:00:00","BZN|BE","Without Sequence","65.00","",""
"03/01/2024 23:00:00 - 04/01/2024 00:00:00","BZN|BE","Without Sequence","58.12","",""
"04/01/2024 00:00:00 - 04/01/2024 01:00:00","BZN|BE","Without Sequence","57.30","",""
"04/01/2024 01:00:00 - 04/01/2024 02:00:00","BZN|BE","Without Sequence","50.46","",""
"04/01/2024 02:00:00 - 04/01/2024 03:00:00","BZN|BE","Without Sequence","40.00","",""
