"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"01/01/2024 16:00 - 01/01/2024 16:15","BZN|BE","7996.33","7888.09"
"01/01/2024 16:15 - 01/01/2024 16:30","BZN|BE","8046.98","7913.89"
"01/01/2024 16:30 - 01/01/2024 16:45","BZN|BE","8123.32","7988.14"
"01/01/2024 16:45 - 01/01/2024 17:00","BZN|BE","8283.06","8048.29"
"01/01/2024 17:00 - 01/01/2024 17:15","BZN|BE","8456.61","8132.39"
"01/01/2024 17:15 - 01/01/2024 17:30","BZN|BE","8517.41","8220.23"
"01/01/2024 17:30 - 01/01/2024 17:45","BZN|BE","8591.99","8319.36"
"01/01/2024 17:45 - 01/01/2024 18:00","BZN|BE","8647.26","8379.28"
"01/01/2024 18:00 - 01/01/2024 18:15","BZN|BE","8741.94","8399.64"
"01/01/2024 18:15 - 01/01/2024 18:30","BZN|BE","8813.11","8396.04"
"01/01/2024 18:30 - 01/01/2024 18:45","BZN|BE","8800.02","8368.54"
"01/01/2024 18:45 - 01/01/2024 19:00","BZN|BE","8772.98","8391.37"
"01/01/2024 19:00 - 01/01/2024 19:15","BZN|BE","8635.37","8389.34"
"01/01/2024 19:15 - 01/01/2024 19:30","BZN|BE","8540.77","8379.60"
"01/01/2024 19:30 - 01/01/2024 19:45","BZN|BE","8468.65","8303.60"
"01/01/2024 19:45 - 01/01/2024 20:00","BZN|BE","8339.39","8259.23"
"01/01/2024 20:00 - 01/01/2024 20:15","BZN|BE","8135.64","8219.15"
"01/01/2024 20:15 - 01/01/2024 20:30","BZN|BE","8052.93","8180.94"
"01/01/2024 20:30 - 01/01/2024 20:45","BZN|BE","8051.66","8128.13"
"01/01/2024 20:45 - 01/01/2024 21:00","BZN|BE","7992.84","8104.10"
"01/01/2024 21:00 - 01/01/2024 21:15","BZN|BE","7946.29","8095.40"
"01/01/2024 21:15 - 01/01/2024 21:30","BZN|BE","7966.59","8076.39"
"01/01/2024 21:30 - 01/01/2024 21:45","BZN|BE","7945.22","8015.03"
"01/01/2024 21:45 - 01/01/2024 22:00","BZN|BE","7875.95","8052.76"
"01/01/2024 22:00 - 01/01/2024 22:15","BZN|BE","8003.15","8132.15"
"01/01/2024 22:15 - 01/01/2024 22:30","BZN|BE","8035.16","8236.76"
"01/01/2024 22:30 - 01/01/2024 22:45","BZN|BE","7972.80","8220.58"
"01/01/2024 22:45 - 01/01/2024 23:00","BZN|BE","7860.91","8259.52"
"01/01/2024 23:00 - 01/01/2024 23:15","BZN|BE","7868.74","8276.62"
"01/01/2024 23:15 - 01/01/2024 23:30","BZN|BE","7816.64","8290.03"
"01/01/2024 23:30 - 01/01/2024 23:45","BZN|BE","7764.24","8198.77"
"01/01/2024 23:45 - 02/01/2024 00:00","BZN|BE","7678.03","8168.94"
"02/01/2024 00:00 - 02/01/2024 00:15","BZN|BE","7647.49","8125.38"
"02/01/2024 00:15 - 02/01/2024 00:30","BZN|BE","7554.18","8072.48"
"02/01/2024 00:30 - 02/01/2024 00:45","BZN|BE","7477.87","7957.01"
"02/01/2024 00:45 - 02/01/2024 01:00","BZN|BE","7377.21","7883.88"
"02/01/2024 01:00 - 02/01/2024 01:15","BZN|BE","7246.12","7676.99"
"02/01/2024 01:15 - 02/01/2024 01:30","BZN|BE","7101.06","7551.15"
"02/01/2024 01:30 - 02/01/2024 01:45","BZN|BE","7056.46","7470.36"
"02/01/2024 01:45 - 02/01/2024 02:00","BZN|BE","6985.17","7383.10"
"02/01/2024 02:00 - 02/01/2024 02:15","BZN|BE","6960.59","7355.63"
"02/01/2024 02:15 - 02/01/2024 02:30","BZN|BE","6884.12","7284.84"
"02/01/2024 02:30 - 02/01/2024 02:45","BZN|BE","6841.60","7241.29"
"02/01/2024 02:45 - 02/01/2024 03:00","BZN|BE","6855.19","7187.95"
"02/01/2024 03:00 - 02/01/2024 03:15","BZN|BE","6812.08","7309.03"
"02/01/2024 03:15 - 02/01/2024 03:30","BZN|BE","6747.27","7285.69"
"02/01/2024 03:30 - 02/01/2024 03:45","BZN|BE","6691.79","7271.34"
"02/01/2024 03:45 - 02/01/2024 04:00","BZN|BE","6701.68","7263.00"
"02/01/2024 04:00 - 02/01/2024 04:15","BZN|BE","6766.01","7460.66"
"02/01/2024 04:15 - 02/01/2024 04:30","BZN|BE","6790.50","7486.38"
"02/01/2024 04:30 - 02/01/2024 04:45","BZN|BE","6825.45","7502.30"
"02/01/2024 04:45 - 02/01/2024 05:00","BZN|BE","6860.85","7544.65"
"02/01/2024 05:00 - 02/01/2024 05:15","BZN|BE","7026.90","7827.06"
"02/01/2024 05:15 - 02/01/2024 05:30","BZN|BE","7128.08","7909.58"
"02/01/2024 05:30 - 02/01/2024 05:45","BZN|BE","7183.18","8001.70"
"02/01/2024 05:45 - 02/01/2024 06:00","BZN|BE","7332.39","8138.66"
"02/01/2024 06:00 - 02/01/2024 06:15","BZN|BE","7709.66","8454.03"
"02/01/2024 06:15 - 02/01/2024 06:30","BZN|BE","7823.78","8652.59"
"02/01/2024 06:30 - 02/01/2024 06:45","BZN|BE","7955.22","8859.85"
"02/01/2024 06:45 - 02/01/2024 07:00","BZN|BE","8101.15","9061.75"
"02/01/2024 07:00 - 02/01/2024 07:15","BZN|BE","8243.94","9232.82"
"02/01/2024 07:15 - 02/01/2024 07:30","BZN|BE","8406.18","9414.64"
"02/01/2024 07:30 - 02/01/2024 07:45","BZN|BE","8600.13","9623.93"
"02/01/2024 07:45 - 02/01/2024 08:00","BZN|BE","8779.94","9785.02"
"02/01/2024 08:00 - 02/01/2024 08:15","BZN|BE","8964.40","10132.24"
"02/01/2024 08:15 - 02/01/2024 08:30","BZN|BE","9113.42","10245.18"
"02/01/2024 08:30 - 02/01/2024 08:45","BZN|BE","9288.19","10315.81"
"02/01/2024 08:45 - 02/01/2024 09:00","BZN|BE","9339.31","10376.39"
"02/01/2024 09:00 - 02/01/2024 09:15","BZN|BE","9434.90","9987.49"
"02/01/2024 09:15 - 02/01/2024 09:30","BZN|BE","9598.67","10062.51"
