"MTU (CET/CEST)","Area","Actual Total Load (MW)","Day-ahead Total Load Forecast (MW)"
"03/01/2024 16:00 - 03/01/2024 17:00","BZN|FR","56846.00","56600.00"
"03/01/2024 17:00 - 03/01/2024 18:00","BZN|FR","58996.00","58550.00"
"03/01/2024 18:00 - 03/01/2024 19:00","BZN|FR","61693.00","61400.00"
"03/01/2024 19:00 - 03/01/2024 20:00","BZN|FR","62084.00","62400.00"
"03/01/2024 20:00 - 03/01/2024 21:00","BZN|FR","58888.00","59500.00"
"03/01/2024 21:00 - 03/01/2024 22:00","BZN|FR","55723.00","55950.00"
"03/01/2024 22:00 - 03/01/2024 23:00","BZN|FR","55781.00","54550.00"
"03/01/2024 23:00 - 04/01/2024 00:00","BZN|FR","55519.00","56550.00"
"04/01/2024 00:00 - 04/01/2024 01:00","BZN|FR","53126.00","54600.00"
"04/01/2024 01:00 - 04/01/2024 02:00","BZN|FR","51288.00","52500.00"
"04/01/2024 02:00 - 04/01/2024 03:00","BZN|FR","50469.00","52050.00"
"04/01/2024 03:00 - 04/01/2024 04:00","BZN|FR","48260.00","49500.00"
"04/01/2024 04:00 - 04/01/2024 05:00","BZN|FR","47341.00","48050.00"
"04/01/2024 05:00 - 04/01/2024 06:00","BZN|FR","49266.00","49250.00"
"04/01/2024 06:00 - 04/01/2024 07:00","BZN|FR","53286.00","53050.00"
"04/01/2024 07:00 - 04/01/2024 08:00","BZN|FR","57123.00","57300.00"
"04/01/2024 08:00 - 04/01/2024 09:00","BZN|FR","60152.00","60850.00"
"04/01/2024 09:00 - 04/01/2024 10:00","BZN|FR","60875.00","62200.00"
"04/01/2024 10:00 - 04/01/2024 11:00","BZN|FR","61051.00","63000.00"
"04/01/2024 11:00 - 04/01/2024 12:00","BZN|FR","61337.00","63350.00"
"04/01/2024 12:00 - 04/01/2024 13:00","BZN|FR","60736.00","63300.00"
"04/01/2024 13:00 - 04/01/2024 14:00","BZN|FR","58823.00","61700.00"
"04/01/2024 14:00 - 04/01/2024 15:00","BZN|FR","58079.00","61700.00"
"04/01/2024 15:00 - 04/01/2024 16:00","BZN|FR","57162.00","60450.00"
"04/01/2024 16:00 - 04/01/2024 17:00","BZN|FR","56459.00","58850.00"
"04/01/2024 17:00 - 04/01/2024 18:00","BZN|FR","58760.00","59800.00"
"04/01/2024 18:00 - 04/01/2024 19:00","BZN|FR","61750.00","63000.00"
"04/01/2024 19:00 - 04/01/2024 20:00","BZN|FR","62120.00","63900.00"
"04/01/2024 20:00 - 04/01/2024 21:00","BZN|FR","58945.00","61050.00"
"04/01/2024 21:00 - 04/01/2024 22:00","BZN|FR","56198.00","57600.00"
"04/01/2024 22:00 - 04/01/2024 23:00","BZN|FR","56465.00","56100.00"
"04/01/2024 23:00 - 05/01/2024 00:00","BZN|FR","56200.00","58050.00"
"05/01/2024 00:00 - 05/01/2024 01:00","BZN|FR","53666.00","54400.00"
"05/01/2024 01:00 - 05/01/2024 02:00","BZN|FR","51800.00","52050.00"
"05/01/2024 02:00 - 05/01/2024 03:00","BZN|FR","51003.00","51700.00"
"05/01/2024 03:00 - 05/01/2024 04:00","BZN|FR","48917.00","49200.00"
"05/01/2024 04:00 - 05/01/2024 05:00","BZN|FR","48163.00","48150.00"
"05/01/2024 05:00 - 05/01/2024 06:00","BZN|FR","50244.00","48650.00"
"05/01/2024 06:00 - 05/01/2024 07:00","BZN|FR","54104.00","52100.00"
"05/01/2024 07:00 - 05/01/2024 08:00","BZN|FR","57936.00","56200.00"
"05/01/2024 08:00 - 05/01/2024 09:00","BZN|FR","60997.00","59350.00"
"05/01/2024 09:00 - 05/01/2024 10:00","BZN|FR","62376.00","60650.00"
"05/01/2024 10:00 - 05/01/2024 11:00","BZN|FR","62854.00","61500.00"
"05/01/2024 11:00 - 05/01/2024 12:00","BZN|FR","63285.00","61800.00"
"05/01/2024 12:00 - 05/01/2024 13:00","BZN|FR","62681.00","61700.00"
"05/01/2024 13:00 - 05/01/2024 14:00","BZN|FR","60656.00","59650.00"
"05/01/2024 14:00 - 05/01/2024 15:00","BZN|FR","60136.00","59150.00"
"05/01/2024 15:00 - 05/01/2024 16:00","BZN|FR","59026.00","57650.00"
"05/01/2024 16:00 - 05/01/2024 17:00","BZN|FR","58096.00","56250.00"
"05/01/2024 17:00 - 05/01/2024 18:00","BZN|FR","60567.00","57150.00"
"05/01/2024 18:00 - 05/01/2024 19:00","BZN|FR","63464.00","60650.00"
"05/01/2024 19:00 - 05/01/2024 20:00","BZN|FR","63539.00","61750.00"
"05/01/2024 20:00 - 05/01/2024 21:00","BZN|FR","60647.00","58800.00"
"05/01/2024 21:00 - 05/01/2024 22:00","BZN|FR","58149.00","55750.00"
"05/01/2024 22:00 - 05/01/2024 23:00","BZN|FR","58513.00","54500.00"
"05/01/2024 23:00 - 06/01/2024 00:00","BZN|FR","58566.00","56700.00"
"06/01/2024 00:00 - 06/01/2024 01:00","BZN|FR","56316.00","57000.00"
"06/01/2024 01:00 - 06/01/2024 02:00","BZN|FR","54622.00","54650.00"
"06/01/2024 02:00 - 06/01/2024 03:00","BZN|FR","53585.00","54200.00"
"06/01/2024 03:00 - 06/01/2024 04:00","BZN|FR","51213.00","51750.00"
"06/01/2024 04:00 - 06/01/2024 05:00","BZN|FR","49670.00","50100.00"
"06/01/2024 05:00 - 06/01/2024 06:00","BZN|FR","49984.00","49850.00"
"06/01/2024 06:00 - 06/01/2024 07:00","BZN|FR","51495.00","51150.00"
"06/01/2024 07:00 - 06/01/2024 08:00","BZN|FR","53366.00","53400.00"
"06/01/2024 08:00 - 06/01/2024 09:00","BZN|FR","55416.00","55600.00"
"06/01/2024 09:00 - 06/01/2024 10:00","BZN|FR","57695.00","57500.00"
"06/01/2024 10:00 - 06/01/2024 11:00","BZN|FR","59424.00","59100.00"
"06/01/2024 11:00 - 06/01/2024 12:00","BZN|FR","60193.00","59800.00"
"06/01/2024 12:00 - 06/01/2024 13:00","BZN|FR","60746.00","60450.00"
"06/01/2024 13:00 - 06/01/2024 14:00","BZN|FR","58772.00","58500.00"
"06/01/2024 14:00 - 06/01/2024 15:00","BZN|FR","57933.00","57150.00"
"06/01/2024 15:00 - 06/01/2024 16:00","BZN|FR","57089.00","56750.00"
"06/01/2024 16:00 - 06/01/2024 17:00","BZN|FR","56276.00","55900.00"
"06/01/2024 17:00 - 06/01/2024 18:00","BZN|FR","58673.00","57250.00"
"06/01/2024 18:00 - 06/01/2024 19:00","BZN|FR","61731.00","60250.00"
"06/01/2024 19:00 - 06/01/2024 20:00","BZN|FR","62440.00","61550.00"
"06/01/2024 20:00 - 06/01/2024 21:00","BZN|FR","60172.00","60200.00"
"06/01/2024 21:00 - 06/01/2024 22:00","BZN|FR","57888.00","58350.00"
"06/01/2024 22:00 - 06/01/2024 23:00","BZN|FR","58732.00","57950.00"
"06/01/2024 23:00 - 07/01/2024 00:00","BZN|FR","59165.00","59300.00"
